name	2017	2018	2019	3year	3year_diff_mean	3year_diff
강동구청DT	2343.0	2347.0	2381.5	2357.1666666666665	19.25	38.5
강동암사DT	2008.0	2048.0	2180.0	2078.6666666666665	86.0	172.0
강릉송정DT	107.0	119.0	149.0	125.0	21.0	42.0
경기광주송정DT	388.0	403.0	419.0	403.33333333333326	15.5	31.0
경기광주신현DT	593.0	596.0	599.0	596.0	3.0	6.0
경기광주쌍령DT	420.0	430.0	439.0	429.66666666666674	9.5	19.0
경남사천DT	190.0	213.0	229.0	210.66666666666663	19.5	39.0
경산중방DT	491.0	525.0	550.0	522.0	29.5	59.0
경인교대입구역DT	770.0	793.0	849.0	804.0	39.5	79.0
경주보문호수DT	116.0	116.0	119.0	117.0	1.5	3.0
경주터미널DT	233.0	314.0	455.0	334.0	111.0	222.0
계룡대로DT	393.0	396.0	413.0	400.66666666666674	10.0	20.0
고양DT	586.0			586.0	0.0	0.0
공릉DT	1613.0	1676.0	1882.0	1723.666666666667	134.5	269.0
공주동학사DT	104.0	107.0	102.5	104.5	-0.75	-1.5
과천DT	1587.0	1683.0	1795.0	1688.333333333333	104.0	208.0
광명소하DT	1526.5	1581.0	1610.0	1572.5	41.75	83.5
광주금호DT	282.0	292.0	310.0	294.6666666666667	14.0	28.0
광주매곡DT	378.0	397.0	403.0	392.66666666666674	12.5	25.0
광주방림DT	339.0	357.0	459.0	385.0	60.0	120.0
광주산정DT	233.0	295.0	316.0	281.3333333333333	41.5	83.0
광주상무DT	622.0	671.0	763.0	685.3333333333334	70.5	141.0
광주선운DT	495.0	545.0	555.0	531.6666666666666	30.0	60.0
광주수완DT	245.0	247.0	297.0	263.0	26.0	52.0
광주신가DT	230.0	236.0	239.0	235.0	4.5	9.0
광주신세계DT	565.0	602.5	743.0	636.8333333333334	89.0	178.0
광주신안DT	277.0	287.5	298.0	287.5	10.5	21.0
광주연제DT	77.0	84.0	86.0	82.33333333333333	4.5	9.0
광주운남DT	363.0	409.0	481.0	417.66666666666674	59.0	118.0
광주운암DT	595.0	604.0	628.0	609.0	16.5	33.0
광주월산DT	188.0	197.0	474.0	286.3333333333333	143.0	286.0
광주주월DT	589.0	649.0	731.0	656.3333333333334	71.0	142.0
광주지원DT	42.0	44.0	48.0	44.66666666666666	3.0	6.0
광주화정DT	522.0	549.0	593.0	554.6666666666666	35.5	71.0
광주효천DT	94.0	131.0	182.0	135.66666666666666	44.0	88.0
광주흑석DT	288.0	360.0	425.0	357.66666666666674	68.5	137.0
구미금오산DT	243.0	252.0	252.0	249.0	4.5	9.0
구미도량DT	258.0	278.0	276.0	270.6666666666667	9.0	18.0
구미상모DT	160.0	166.0	170.0	165.33333333333334	5.0	10.0
구미시청DT	530.0	565.0	583.0	559.3333333333334	26.5	53.0
구의DT	2066.0	2158.0	2234.0	2152.6666666666665	84.0	168.0
국립대구박물관DT	681.0	848.0	933.0	820.6666666666665	126.0	252.0
금정구청DT	732.0	807.5	859.0	799.5	63.5	127.0
금정남산동DT	801.0	881.0	907.0	863.0	53.0	106.0
기장역DT	528.0	574.0	621.0	574.3333333333334	46.5	93.0
김천시청DT	495.0	488.0	514.0	499.0	9.5	19.0
김포감정DT	466.0	476.0	518.0	486.66666666666674	26.0	52.0
김해구산DT	132.0	138.0	373.0	214.33333333333331	120.5	241.0
김해대로DT	522.0	575.0	591.0	562.6666666666666	34.5	69.0
김해진영DT			159.0	159.0	0.0	0.0
낙성대DT	2295.0	2448.0	2496.0	2413.0	100.5	201.0
남양산IC	133.0	141.0	221.0	165.0	44.0	88.0
남양주연평DT	302.0	307.0	370.0	326.3333333333333	34.0	68.0
남양주진접DT	409.0	531.0	546.0	495.33333333333326	68.5	137.0
다대포DT	514.0	539.0	598.0	550.3333333333334	42.0	84.0
대구감삼DT	917.0	990.0	1069.0	992.0	76.0	152.0
대구공평DT	1256.0	1335.0	1411.0	1334.0	77.5	155.0
대구도원DT	657.0	721.0	777.0	718.3333333333335	60.0	120.0
대구두류DT	815.0	890.0	943.0	882.6666666666665	64.0	128.0
대구만촌DT	1275.0	1387.0	1622.0	1428.0	173.5	347.0
대구상동DT	555.0	611.0	700.0	622.0	72.5	145.0
대구상인DT	751.0	817.0	883.0	817.0	66.0	132.0
대구수성네거리DT	1065.0	1125.0	1337.0	1175.6666666666667	136.0	272.0
