지점명	address	distance	address2	num_review	지점명2
스타벅스 강동구청DT점	성내동 550	0.9944862709008548	서울특별시 송파구 풍납동	62419	서울 풍납동 토성
스타벅스 강동구청DT점	성내동 550	1.0388978312138824	서울특별시 송파구 올림픽로 424	43230	서울 몽촌토성
스타벅스 강동구청DT점	성내동 550	1.0704944983405171	서울특별시 강동구 천호3동 448-49호 (천호동 마을마당 내)	6187	해공신익희선생동상
스타벅스 강동암사DT점	암사동 441-12	0.3577067257936102	서울특별시 강동구 암사동	22977	구암서원 터(구암정)
스타벅스 강동암사DT점	암사동 441-12	0.5143467566959231	서울특별시 강동구 고덕로 96	12	K-Taekwon school 태권도체험
스타벅스 강동암사DT점	암사동 441-12	0.6182786193563103	서울특별시 강동구 올림픽로 875	45577	서울 암사동 유적
스타벅스 강릉송정DT점	강원도 강릉시 경강로 2402    2020-03-31 18:56:50.526315776	0.4968148365061933	강원도 강릉시 송정동 268	403	보트
스타벅스 강릉송정DT점	강원도 강릉시 경강로 2402    2020-03-31 18:56:50.526315776	1.4348139961248574	강원도 강릉시 송정길30번안길 20-3	32754	송정해변(송정해수욕장)
스타벅스 강릉송정DT점	강원도 강릉시 경강로 2402    2020-03-31 18:56:50.526315776	1.6427917410410875	강원도 강릉시 견소동	658	강릉안목해맞이공원
스타벅스 경기광주송정DT점	송정동 12-12 1필지	2.5111731104758066	경기도 광주시 남한산성면 해공로 91	32675	광주 조선백자 요지
스타벅스 경기광주송정DT점	송정동 12-12 1필지	3.861717707907576	경기도 광주시 오포읍 청석로 22-22	19780	백련암(경기)
스타벅스 경기광주송정DT점	송정동 12-12 1필지	4.5032077826140515	경기도 광주시 초월읍 대쌍령리	16907	정충묘
스타벅스 경기광주신현DT점	신현리 701-5	2.560674922933171	경기도 성남시 분당구 문정로 145	101122	율동공원
스타벅스 경기광주신현DT점	신현리 701-5	2.583303187379987	경기도 용인시 처인구 모현읍 충렬로 9-19	2692	충렬서원
스타벅스 경기광주신현DT점	신현리 701-5	2.684911001725846	경기도 성남시 분당구 구미로185번길 30	10606	대광사(성남)
스타벅스 경기광주쌍령DT점	쌍령동 168	1.5184127672497294	경기도 광주시 오포읍 청석로 22-22	19780	백련암(경기)
스타벅스 경기광주쌍령DT점	쌍령동 168	1.5250836568993025	경기도 광주시 초월읍 대쌍령리	16907	정충묘
스타벅스 경기광주쌍령DT점	쌍령동 168	2.87208394021872	경기도 광주시 오포읍 양촌길 268-1	19475	극락사(경기)
스타벅스 경남사천DT점	수석리 320-1	0.7103156786471926	경상남도 사천시 사천읍 수양공원길 51	23449	수양공원 (구 산성공원)
스타벅스 경남사천DT점	수석리 320-1	1.6423966022325265	경상남도 사천시 사천읍 사천향교로 25	2896	사천향교
스타벅스 경남사천DT점	수석리 320-1	1.994417859427704	경상남도 사천시 정동면 고읍길 223	20329	사천고읍단감마을
스타벅스 경산중방DT점	중방동 847-6	0.7596961029275857	경상북도 경산시 향교길 14-19	2975	경산향교
스타벅스 경산중방DT점	중방동 847-6	1.087162867845708	경상북도 경산시 장산로24길 7	20780	혜광사(경산)
스타벅스 경산중방DT점	중방동 847-6	1.1796681505902096	경상북도 경산시 남매로 86	20201	안흥사(경산)
스타벅스 경인교대입구역DT점	작전동 852-30 852-31	0.526603553197641	인천광역시 계양구 향교로 19	28795	부평향교
스타벅스 경인교대입구역DT점	작전동 852-30 852-31	0.7362809899745649	인천광역시 계양구 어사대로 20	25881	부평도호부청사
스타벅스 경인교대입구역DT점	작전동 852-30 852-31	1.4792827637974024	인천광역시 계양구 경명대로955번길 13-12	18794	지선사
스타벅스 경주보문로DT점	천군동 1584-33 외 1번지(신평동 719-220)	0.3783241471637872	경상북도 경주시 보문로 544	216315	경주월드 어뮤즈먼트
스타벅스 경주보문로DT점	천군동 1584-33 외 1번지(신평동 719-220)	0.4408309656893735	경상북도 경주시 보문로 424-33	52989	보문호
스타벅스 경주보문로DT점	천군동 1584-33 외 1번지(신평동 719-220)	0.5234991436420975	경상북도 경주시 엑스포로 45	75783	더케이경주호텔 스파온천
