지점명	1km이내 회사개수	2km이내 회사개수	3km이내 회사개수	5km이내 회사개수
스타벅스 강동구청DT점	3	13	33	44
스타벅스 강동암사DT점	0	2	12	29
스타벅스 강릉송정DT점	0	0	1	2
스타벅스 경기광주송정DT점	0	1	1	3
스타벅스 경기광주신현DT점	1	1	3	14
스타벅스 경기광주쌍령DT점	0	0	0	2
스타벅스 경남사천DT점	0	1	3	3
스타벅스 경산중방DT점	0	1	1	1
스타벅스 경인교대입구역DT점	1	6	11	16
스타벅스 경주보문로DT점	0	0	0	0
스타벅스 경주보문호수DT점	0	0	0	1
스타벅스 경주터미널DT점	0	0	0	0
스타벅스 계룡대로DT점	0	0	0	0
스타벅스 고양DT점	0	0	0	0
스타벅스 공릉DT점	0	1	1	7
스타벅스 공주동학사DT점	0	0	0	1
스타벅스 과천DT점	0	6	6	26
스타벅스 광명소하DT점	0	1	4	31
스타벅스 광주금호DT점	1	1	4	8
스타벅스 광주매곡DT점	0	0	4	10
스타벅스 광주방림DT점	1	3	4	11
스타벅스 광주산정DT점	1	2	10	21
스타벅스 광주상무DT점	1	1	4	9
스타벅스 광주선운DT점	0	8	10	14
스타벅스 광주수완DT점	0	8	10	14
스타벅스 광주신가DT점	0	0	4	20
스타벅스 광주신세계DT점	3	3	6	14
스타벅스 광주신안DT점	1	6	7	12
스타벅스 광주연제DT점	0	3	4	9
스타벅스 광주용두DT점	0	3	5	6
스타벅스 광주운남DT점	0	1	4	23
스타벅스 광주운암DT점	0	2	4	12
스타벅스 광주월산DT점	0	3	6	13
스타벅스 광주주월DT점	0	2	4	13
스타벅스 광주지산DT점	1	1	4	10
스타벅스 광주지원DT점	0	1	2	4
스타벅스 광주화정DT점	2	3	6	13
스타벅스 광주효천DT점	0	1	2	3
스타벅스 광주흑석DT점	0	3	10	21
스타벅스 구미금오산DT점	0	2	2	3
스타벅스 구미도량DT점	0	0	1	2
스타벅스 구미상모DT점	0	0	1	8
스타벅스 구미시청DT점	1	2	3	9
스타벅스 구의DT점	0	2	13	90
스타벅스 국립대구박물관DT점	0	1	3	8
스타벅스 군산나운DT점	0	1	2	3
스타벅스 금정구청DT점	0	3	6	8
스타벅스 금정남산동DT점	0	4	4	4
스타벅스 기장역DT점	0	0	0	0
스타벅스 김천시청DT점	0	0	3	4
스타벅스 김포감정DT점	0	1	2	4
스타벅스 김포풍무DT점	1	2	3	4
스타벅스 김해구산DT점	0	0	0	3
스타벅스 김해대로DT점	1	2	2	2
스타벅스 김해외동DT점	0	0	2	3
스타벅스 김해진영DT점	1	1	1	2
스타벅스 낙성대DT점	1	6	17	62
스타벅스 남양산IC DT점	0	0	0	6
스타벅스 남양주연평DT점	0	0	0	0
스타벅스 남양주진접DT점	0	0	0	0
스타벅스 다대포DT점	1	3	5	12
스타벅스 당진시곡DT점	2	2	2	3
스타벅스 대구감삼DT점	0	0	6	15
스타벅스 대구공평DT점	3	5	11	18
스타벅스 대구도원DT점	0	0	0	5
스타벅스 대구두류DT점	0	4	5	15
스타벅스 대구만촌DT점	0	0	3	4
스타벅스 대구상동DT점	0	1	3	12
스타벅스 대구상인DT점	0	1	5	10
스타벅스 대구성서IC DT점	0	5	9	12
스타벅스 대구수성네거리DT점	0	3	8	14
