	지점명	아파트명	주소	준공년월	세대	가격	latitude	longitude	s_latitude	s_longitude	distance
0	스타벅스 대구영대병원역DT점	영광비젼파크아파트	대구 남구 봉덕로11길 14-4				35.8455285	128.596193	35.8454732	128.5935246	0.24113926577460507
1	스타벅스 오산갈곶DT점	원동삼환나우빌아파트	경기 오산시 경기대로 99-15	1996.11	1168.0	"매매가13,500 - 16,500 (만원)
전세가12,000 - 15,000 (만원)"	37.13286799999999	127.0708067	37.1290776	127.0712245	0.4222940269367915
2	스타벅스 대구칠성DT점	칠성동삼성아파트	대구 북구 호암로 40	1995.11	624.0	"매매가21,500 - 37,000 (만원)
전세가17,000 - 30,000 (만원)"	35.8816405	128.5944278	35.879674	128.5963911	0.28113979921879834
3	스타벅스 평택서정DT점	동산아파트	경기 평택시 특구로27번길 46	1989.1	520.0	"매매가10,500 - 14,500 (만원)
전세가6,000 - 8,500 (만원)"	37.0687929	127.0607779	37.065982	127.063464	0.39291005225795744
4	스타벅스 동서대DT점	주례한일유앤아이아파트	부산 사상구 백양대로 372-15	2005.02	988.0	"매매가18,500 - 43,000 (만원)
전세가17,000 - 32,000 (만원)"	35.15406780000001	129.0098723	35.1507396	129.0096874	0.36962588506747596
5	스타벅스 전주효자DT점	LH세븐팰리스아파트	전북 전주시 완산구 우전로 180	2013.12	560.0	"매매가29,000 - 32,000 (만원)
전세가24,000 - 26,500 (만원)"	35.8132624	127.1011393	35.8058839	127.1110843	1.2157869675071118
6	스타벅스 광주연제DT점	연제대주피오레2차아파트	광주 북구 양일로 52	2007.08	353.0	"매매가23,000 - 26,500 (만원)
전세가20,000 - 21,000 (만원)"	35.1968036	126.8701578	35.2014475	126.8636426	0.7857922867105075
7	스타벅스 대구성서IC DT점	대우월드마크웨스트엔드	대구 달서구 와룡로 169	2010.08	994.0	"매매가66,500 - 109,000 (만원)
전세가45,000 - 70,000 (만원)"	35.848291	128.53592659999998	35.8507998	128.5202604	1.4423177995352698
8	스타벅스 광주지원DT점	광주용산지구리슈빌아파트	광주 동구 용산1길 2	2019.05	820.0	"매매가42,000 - 76,500 (만원)
전세가26,500 - 39,500 (만원)"	35.1208013	126.9322056	35.1183787	126.9333814	0.28935252652271054
9	스타벅스 광주화정DT점	고운하이플러스아파트	광주 서구 화운로99번길 20	2014.04	188.0	"매매가28,000 - 36,300 (만원)
전세가18,000 - 24,000 (만원)"	35.1485756	126.8782329	35.1522047	126.8799969	0.4335237837118893
10	스타벅스 수영망미DT점	망미포스코더샵파크리치아파트	부산 수영구 연수로315번길 16	2007.09	862.0	"매매가40,000 - 71,000 (만원)
전세가28,000 - 48,000 (만원)"	35.173195	129.106528	35.1773864	129.1074676	0.4728212490238742
11	스타벅스 대구침산DT점	오페라삼정그린코아더베스트아파트	대구 북구 침산로 100	2017.1	578.0	"매매가46,500 - 89,000 (만원)
전세가34,000 - 56,000 (만원)"	35.8902141	128.5904713	35.8874784	128.5918376	0.32765532147079673
12	스타벅스 신정DT점	목동힐스테이트아파트	서울 양천구 중앙로36길 15	2016.05	1081.0	"매매가110,000 - 165,000 (만원)
전세가60,000 - 95,000 (만원)"	37.5201132	126.8560477	37.5220098	126.8588745	0.32673406936403543
13	스타벅스 대구도원DT점	도원서한이다음레이크뷰아파트	대구 달서구 상화로58길 35	2015.01	633.0	"매매가27,000 - 42,500 (만원)
전세가22,500 - 31,500 (만원)"	35.8069484	128.5471666	35.8077269	128.5481165	0.12178777616234904
14	스타벅스 김해진영DT점	대한아파트	경남 김해시 진영읍 여래로20번길 64-63	1995.06	100.0	"매매가7,500 - 8,500 (만원)
전세가5,000 - 6,000 (만원)"	35.3051663	128.7308161	35.3058947	128.7313911	0.0962575872220549
15	스타벅스 밀양DT점	밀양삼문지엘리베라움2단지아파트	경남 밀양시 미리벌로3길 11	2016.05	298.0	"매매가17,300 - 25,400 (만원)
전세가13,000 - 17,000 (만원)"	35.482671	128.7448654	35.4853735	128.7512271	0.6505293715596564
16	스타벅스 동래미남DT점	동래효성해링턴플레이스	부산 동래구 아시아드대로255번길 14	2019.06	762.0	"매매가45,000 - 63,000 (만원)
전세가29,500 - 45,500 (만원)"	35.2078246	129.0662239	35.2071981	129.0719709	0.527901029076703
17	스타벅스 양산덕계DT점	양산KCC스위첸아파트	경남 양산시 평산회야로 167	2019.1	553.0	"매매가24,100 - 29,000 (만원)
전세가15,000 - 18,000 (만원)"	35.3737307	129.1466815	35.3759862	129.1556621	0.8535719370329896
18	스타벅스 마산역DT점	동도센트리움아파트	경남 창원시 마산회원구 양덕옛2길 129	2013.02	170.0	"매매가22,500 - 33,000 (만원)
전세가19,000 - 25,000 (만원)"	35.2334717	128.5798168	35.2362004	128.5805449	0.3099051941668886
19	스타벅스 천안성정DT점	계룡리슈빌DS	충남 천안시 서북구 성정두정로 19	2016.09	190.0	매매 3 전세 2 월세 5	36.8323797	127.1415812	36.82532	127.1402297	0.792669373127322
20	스타벅스 부평삼거리역DT점	십정뜨란채주공1단지아파트	인천 부평구 이규보로 79	2005.07	920.0	"매매가17,000 - 33,500 (만원)
전세가14,500 - 25,500 (만원)"	37.4795654	126.7022513	37.4765331	126.7102019	0.7796219429667304
21	스타벅스 남양산IC DT점	남양산역반도유보라6차아파트	경남 양산시 동면 금오13길 38	2017.05	827.0	"매매가21,500 - 33,000 (만원)
전세가16,500 - 23,500 (만원)"	35.319206	129.0264601	35.3194621	129.0306908	0.38575425968471916
22	스타벅스 광주흑석DT점	영천마을주공9단지아파트	광주 광산구 풍영로 63	2003.05	1262.0	"매매가20,000 - 24,500 (만원)
전세가16,500 - 20,000 (만원)"	35.1778041	126.8097029	35.1769543	126.8077963	0.19761388231197893
23	스타벅스 대구중동네거리DT점	정화우방팔레스아파트	대구 수성구 수성로 135	2003.01	488.0	"매매가37,500 - 56,000 (만원)
전세가26,000 - 42,000 (만원)"	35.8380516	128.6108302	35.8409171	128.6139627	0.425655723000597
24	스타벅스 안양석수DT점	안양석수역푸르지오아파트	경기 안양시 만안구 삼성산길 8	2009.06	542.0	"매매가59,500 - 79,000 (만원)
전세가32,000 - 40,000 (만원)"	37.4330975	126.90465	37.4310609	126.9034526	0.2496441366445084
25	스타벅스 울산북구청DT점	벽산늘푸른아파트	울산 북구 상방로 160	1994.08	828.0	"매매가15,200 - 24,200 (만원)
전세가12,000 - 15,500 (만원)"	35.5837705	129.3643998	35.5834832	129.3588839	0.5009502064735182
26	스타벅스 전주백제대로DT점	전주중화산동풍림아이원아파트	전북 전주시 완산구 서원로 289	2011.04	498.0	"매매가27,500 - 41,500 (만원)
전세가22,000 - 37,000 (만원)"	35.81290629999999	127.1263681	35.8146019	127.1234249	0.3258023346354053
27	스타벅스 경산중방DT점	초원맨션아파트	경북 경산시 경안로48길 11-12	1989.05	59.0	매매 7	35.829127	128.7378615	35.8274664	128.7370404	0.19863015518617033
28	스타벅스 제천DT점	두진백로1차아파트	충북 제천시 칠성로 19	1995.05	484.0	"매매가8,000 - 13,000 (만원)
전세가7,000 - 11,000 (만원)"	37.1463052	128.20915259999998	37.1436691	128.2128533	0.44009572213346215
29	스타벅스 대구상인DT점	상인KCC스위첸아파트	대구 달서구 월배로39길 26	2009.1	293.0	"매매가64,000 - 79,000 (만원)
전세가46,000 - 54,500 (만원)"	35.8199118	128.5333122	35.822283	128.5343795	0.2802194738330701
30	스타벅스 동탄능동DT점	숲속마을자연앤경남아너스빌아파트	경기 화성시 동탄숲속로 69	2008.1	455.0	"매매가35,000 - 45,000 (만원)
전세가21,000 - 25,000 (만원)"	37.209423	127.0549932	37.2137507	127.0635819	0.9010510154956628
31	스타벅스 전주송천DT점	송천뜨란채아파트	전북 전주시 덕진구 붓내3길 29	1998.12	1992.0	"매매가8,600 - 17,800 (만원)
전세가8,000 - 16,500 (만원)"	35.8678669	127.12537659999998	35.8672981	127.121917	0.31876122158388565
32	스타벅스 원주반곡DT점	유승한내들아파트	강원 원주시 강변로 119	2003.06	639.0	"매매가12,500 - 17,500 (만원)
전세가10,500 - 14,500 (만원)"	37.3201104	127.9677467	37.3196347	127.9715718	0.34313285577051716
33	스타벅스 의정부예술의전당DT점	의정부롯데캐슬골드파크2단지아파트	경기 의정부시 범골로63번길 31 의정부 롯데캐슬 골드파크 2단지	2018.11	931.0	"매매가37,500 - 61,250 (만원)
전세가24,000 - 38,000 (만원)"	37.7311131	127.036385	37.733071	127.0388841	0.3094430247470951
34	스타벅스 화곡DT점	삼형그레이스빌아파트	서울 강서구 등촌로 91	2001.09	87.0	"매매가37,500 - 57,500 (만원)
전세가28,000 - 44,000 (만원)"	37.538185	126.863257	37.5350355	126.8631182	0.34977103776230906
35	스타벅스 경인교대입구역DT점	계산한양아파트	인천 계양구 계양대로120번길 10	1985.1	280.0	"매매가16,000 - 24,000 (만원)
전세가13,000 - 20,000 (만원)"	37.5340101	126.7236169	37.5355197	126.722153	0.21169018085352306
36	스타벅스 용인상하DT점	참솔마을월드메르디앙아파트	경기 용인시 기흥구 동백죽전대로 281 참솔마을월드메르디앙	2006.02	966.0	"매매가29,500 - 43,000 (만원)
전세가23,000 - 30,500 (만원)"	37.264797	127.1538776	37.2596715	127.1424797	1.1600884116310726
37	스타벅스 광주주월DT점	힐스테이트백운아파트	광주 남구 회재로1293번길 7	2016.09	528.0	"매매가37,000 - 45,000 (만원)
전세가22,500 - 32,000 (만원)"	35.1537946	126.9125291	35.1341387	126.8981372	2.544690223300551
38	스타벅스 충주호암DT점	충주호암지구우미린에듀시티	충북 충주시 호암수청1로 13 우미린에듀시티아파트	2019.08	892.0	매매 2 전세 6	36.9626934	127.92691299999998	36.9589788	127.9236984	0.5018922709559692
39	스타벅스 동수원DT점	동수원월드메르디앙아파트	경기 수원시 팔달구 권광로 373	2004.06	2063.0	"매매가53,000 - 70,000 (만원)
전세가31,000 - 45,000 (만원)"	37.2803291	127.034484	37.2780155	127.0337778	0.26429771549283954
40	스타벅스 안양비산DT점	관악타운아파트	경기 안양시 동안구 학의로 20	1992.11	1800.0	"매매가41,000 - 58,500 (만원)
전세가28,500 - 40,000 (만원)"	37.3947889	126.9432242	37.3924933	126.9428578	0.2568348134685528
41	스타벅스 구의DT점	래미안파크스위트	서울 광진구 광나루로 545	2018.09	854.0	"매매가92,500 - 157,500 (만원)
전세가49,000 - 100,000 (만원)"	37.544919	127.0901914	37.545357	127.0871714	0.27127526156407467
42	스타벅스 부천중동DT점	복사골건영아이숲1차아파트	경기 부천시 중동로 166	1992.12	1030.0	"매매가17,500 - 38,000 (만원)
전세가13,000 - 28,000 (만원)"	37.4941355	126.76810659999998	37.4963743	126.7642	0.4255431379027382
43	스타벅스 해운대달맞이DT점	해운대엘시티더샵	부산 해운대구 달맞이길 30	2019.11	882.0	매매 329 전세 229 월세 403	35.1599209	129.1697564	35.161563	129.171237	0.22668640015359096
44	스타벅스 속초DT점	부영5단지아파트	강원 속초시 청대로204번길 40	1995.07	1030.0	"매매가6,750 - 11,250 (만원)
전세가6,250 - 10,250 (만원)"	38.1885131	128.5813194	38.1898709	128.5844124	0.31006137940479084
