지점명	아파트명	준공년월	세대	distance	매매가하한	매매가상한
스타벅스 대구영대병원역DT점	영광비젼파크아파트			0.2411392657746051		
스타벅스 오산갈곶DT점	원동삼환나우빌아파트	1996.11	1168.0	0.4222940269367915	135000000.0	165000000.0
스타벅스 대구칠성DT점	칠성동삼성아파트	1995.11	624.0	0.28113979921879834	215000000.0	370000000.0
스타벅스 평택서정DT점	동산아파트	1989.1	520.0	0.39291005225795744	105000000.0	145000000.0
스타벅스 동서대DT점	주례한일유앤아이아파트	2005.02	988.0	0.369625885067476	185000000.0	430000000.0
스타벅스 전주효자DT점	LH세븐팰리스아파트	2013.12	560.0	1.2157869675071118	290000000.0	320000000.0
스타벅스 광주연제DT점	연제대주피오레2차아파트	2007.08	353.0	0.7857922867105075	230000000.0	265000000.0
스타벅스 대구성서IC DT점	대우월드마크웨스트엔드	2010.08	994.0	1.4423177995352698	665000000.0	1090000000.0
스타벅스 광주지원DT점	광주용산지구리슈빌아파트	2019.05	820.0	0.2893525265227105	420000000.0	765000000.0
스타벅스 광주화정DT점	고운하이플러스아파트	2014.04	188.0	0.4335237837118893	280000000.0	363000000.0
스타벅스 수영망미DT점	망미포스코더샵파크리치아파트	2007.09	862.0	0.4728212490238742	400000000.0	710000000.0
스타벅스 대구침산DT점	오페라삼정그린코아더베스트아파트	2017.1	578.0	0.32765532147079673	465000000.0	890000000.0
스타벅스 신정DT점	목동힐스테이트아파트	2016.05	1081.0	0.32673406936403543	1100000000.0	1650000000.0
스타벅스 대구도원DT점	도원서한이다음레이크뷰아파트	2015.01	633.0	0.12178777616234905	270000000.0	425000000.0
스타벅스 김해진영DT점	대한아파트	1995.06	100.0	0.0962575872220549	75000000.0	85000000.0
스타벅스 밀양DT점	밀양삼문지엘리베라움2단지아파트	2016.05	298.0	0.6505293715596564	173000000.0	254000000.0
스타벅스 동래미남DT점	동래효성해링턴플레이스	2019.06	762.0	0.527901029076703	450000000.0	630000000.0
스타벅스 양산덕계DT점	양산KCC스위첸아파트	2019.1	553.0	0.8535719370329896	241000000.0	290000000.0
스타벅스 마산역DT점	동도센트리움아파트	2013.02	170.0	0.3099051941668886	225000000.0	330000000.0
스타벅스 천안성정DT점	계룡리슈빌DS	2016.09	190.0	0.792669373127322	300000000.0	300000000.0
스타벅스 부평삼거리역DT점	십정뜨란채주공1단지아파트	2005.07	920.0	0.7796219429667304	170000000.0	335000000.0
스타벅스 남양산IC DT점	남양산역반도유보라6차아파트	2017.05	827.0	0.3857542596847192	215000000.0	330000000.0
스타벅스 광주흑석DT점	영천마을주공9단지아파트	2003.05	1262.0	0.19761388231197893	200000000.0	245000000.0
스타벅스 대구중동네거리DT점	정화우방팔레스아파트	2003.01	488.0	0.42565572300059706	375000000.0	560000000.0
스타벅스 안양석수DT점	안양석수역푸르지오아파트	2009.06	542.0	0.2496441366445084	595000000.0	790000000.0
스타벅스 울산북구청DT점	벽산늘푸른아파트	1994.08	828.0	0.5009502064735182	152000000.0	242000000.0
