DT,Latitude,Longitude,Open_Date
남양산IC DT,35.31992,129.03058,2019-07-29
대전IC DT,36.35426,127.44424,2015-12-08
수원IC DT,37.26707,127.07486,2018-08-27
북오산IC DT,37.18989,127.07677,2019-11-25
오산IC DT,37.14272,127.07677,2015-05-13
신월IC DT,37.52952,126.83237,2015-07-23
울산MBC DT,35.56163,129.33236,2018-06-11
수원KBS DT,37.27094,127.03518,2018-01-26
북수원IC DT,37.30776,126.99832,2018-08-27
천안IC DT,36.82022,127.16152,2016-09-13
대구성서IC DT,35.85055,128.52027,2015-11-18
화성병점DT,37.21376,127.05365,2020-7-3
김해진영DT,35.30589,128.73139,2020-6-1
광주연제DT,35.19717,126.86629,2020-5-18
여수학동DT,34.75983,127.66712,2020-5-18
광주선운DT,35.20305,126.8187,2020-4-27
수원세류DT,37.26283,127.01121,2020-4-13
명지강변DT,35.10263,128.91517,2020-4-13
광주지원DT,35.11838,126.93338,2020-4-13
울산호계DT,35.58344,129.35911,2020-4-13
아산방축DT,36.78387,127.01629,2020-3-2
풍무사거리DT,37.60778,126.72274,2020-3-16
금정남산동DT,35.26214,129.09133,2020-2-3
경기광주쌍령DT,37.39875,127.26021,2020-2-24
청주비하DT,36.64667,127.42219,2020-1-6
수원경수인계DT,37.26793,127.02756,2020-1-28
시흥대야DT,37.44391,126.79075,2020-1-20
의왕청계DT,37.39613,126.98441,2020-1-20
대구앞산DT,35.82956,128.54813,2020-1-13
평촌역DT,37.39643,126.96943,2020-1-13
마산회원DT,35.22066,128.57443,2019-9-9
천안두정역DT,36.83287,127.14616,2019-9-2
용인김량장DT,37.23983,127.2105,2019-9-16
수원연무DT,37.29217,127.02873,2019-9-16
신정DT,37.52201,126.85888,2019-9-12
광주월산DT,35.1456,126.89097,2019-8-19
안성공도DT,37.00951,127.20075,2019-8-19
당진시곡DT,36.89117,126.63905,2019-7-8
평택서정DT,37.06598,127.06346,2019-7-29
광주주월DT,35.13414,126.89814,2019-7-22
경남사천DT,34.94111,128.08639,2019-7-22
하남미사DT,37.55986,127.18561,2019-7-22
목포터미널DT,34.81002,126.41705,2019-6-24
의정부신곡DT,37.72673,127.06402,2019-6-17
강동구청DT,37.52914,127.12379,2019-6-10
사상주례DT,35.15488,128.99403,2019-5-8
세종다정DT,36.49567,127.25426,2019-5-27
천안불당DT,36.80538,127.10628,2019-5-20
인천동춘DT,37.41249,126.66439,2019-4-8
남양주연평DT,37.71132,127.18532,2019-4-8
광주신세계DT,35.15625,126.8828,2019-4-29
전주송천DT,35.8673,127.12192,2019-4-29
용인상하DT,37.25967,127.14248,2019-4-29
원주반곡DT,37.32305,127.9807,2019-4-22
광주상무DT,35.14993,126.85483,2019-4-22
동두천DT,37.88893,127.05707,2019-4-15
양주덕정역DT,37.83836,127.06299,2019-3-25
송파나루역DT,37.51087,127.11029,2019-3-18
천안서부대로DT,36.80357,127.12718,2019-3-18
이천증포DT,37.29661,127.45722,2019-2-25
강동암사DT,37.55504,127.13006,2019-2-25
제주도남DT,33.48038,126.52366,2019-12-9
구미상모DT,36.08232,128.35638,2019-1-28
일산애니골DT,37.67454,126.79319,2019-1-28
청주용암DT,36.60752,127.50391,2019-1-28
충주호암DT,36.95898,127.9237,2019-12-23
풍무역DT,37.61048,126.73704,2019-12-23
밀양DT,35.48537,128.75123,2019-12-23
강릉송정DT,37.77167,128.92311,2019-12-2
광주효천DT,35.09992,126.87147,2019-12-2
평택안중DT,36.99082,126.91342,2019-12-16
인천강화DT,37.74342,126.49071,2019-12-16
경기광주송정DT,37.40979,127.26021,2019-12-16
제주삼화DT,33.47262,126.58053,2019-12-16
양주송추DT,37.71753,126.97309,2019-12-12
부평삼거리역DT,37.47651,126.71021,2019-11-4
기장역DT,35.24214,129.22032,2019-11-4
광주지산DT,35.14971,126.92908,2019-11-25
포항죽도DT,36.0173,129.34707,2019-11-25
대구영대병원역DT,35.84547,128.59352,2019-11-25
충남보령DT,36.34083,126.58932,2019-11-25
제주외도DT,33.49228,126.42721,2019-11-18
대전터미널DT,36.34775,127.43428,2019-11-18
군산나운DT,35.96269,126.69557,2019-11-11
전북대병원DT,35.84181,127.13686,2019-10-28
경인교대입구역DT,37.53552,126.72215,2019-10-21
송파방이DT,37.50647,127.12045,2019-10-16
국립대구박물관DT,35.84555,128.63909,2019-10-14
마산해안대로DT,35.20446,128.58103,2018-9-18
울산도산사거리DT,35.53102,129.33011,2018-9-17
일산풍동DT,37.66211,126.80092,2018-8-8
구미도량DT,36.13834,128.31708,2018-8-27
금정구청DT,35.2389,129.09292,2018-8-13
양주광사DT,37.79074,127.07259,2018-7-30
안양운동장사거리DT,37.40111,126.94921,2018-6-25
동탄능동DT,37.21193,127.05365,2018-6-25
공릉DT,37.62069,127.07431,2018-6-25
용인보라DT,37.25564,127.10455,2018-6-25
전주백제대로DT,35.81448,127.12341,2018-6-21
충주시청DT,36.99007,127.92876,2018-6-21
전주평화DT,35.78844,127.131,2018-6-18
을숙도강변DT,35.1152,128.95945,2018-6-15
의정부용현DT,37.73056,127.0843,2018-6-14
다대포DT,35.06096,128.97522,2018-6-11
종암DT,37.59195,127.03604,2018-5-21
서산예천DT,36.77173,126.44017,2018-5-21
포항쌍용DT,36.01545,129.35305,2018-5-13
인천학익DT,37.44038,126.66276,2018-4-10
용인시청DT,37.24028,127.17111,2018-3-23
광주화정DT,35.1522,126.88008,2018-3-16
대구칠성DT,35.87967,128.59639,2018-2-27
청주용담DT,36.63421,127.50508,2018-2-23
울산북구청DT,35.58344,129.35911,2018-2-12
진해자은DT,35.14364,128.7069,2018-1-4
광주운남DT,35.17511,126.81792,2018-12-3
공주동학사DT,36.36354,127.25388,2018-12-24
대구수성도서관DT,35.8728,128.639,2018-12-24
