,name,분류,위도,경도,M,Tu,W,Th,Fr,Sa,S,00~03,03~06,06~09,09~12,12~15,15~18,18~21,12~24,M_20,M_25,M_29,M_34,M_39,M_44,M_49,M_54,M_59,M_60,W_20,W_25,W_29,W_34,W_39,W_44,W_49,W_54,W_59,W_60,관광지명,관광지_거리,관광지_리뷰수,교통량_점수,교통량_점수_아침,교통량_점수_저녁,교통량_점수_점심,교통량_점수_주말,교통량_점수_평일,맥도날드_거리,인근_스타벅스_거리,아파트_거리,아파트_매매가_상한,아파트_세대수,아파트_준공년월,인근_교차로_거리(m),주유소_거리(m),6개월_영수증_개수,3개월_영수증_개수,2개월_영수증_개수,1개월_영수증_개수,1년_점수,6개월_점수,3개월_점수,2개월_점수,1개월_점수,최근접_대기업_거리,최근접_대기업_자본금,1km내_대기업_개수,2km내_대기업_개수,3km내_대기업_개수,5km내_대기업_개수,리뷰점수,동단위_아파트_세대수,Label,최근접_대기업명,공시지가_3년치_평균,공시지가_3년치_상승률_평균,오픈일_지난날짜,오픈일,지난날짜_기준,Clustering1
1,강동구청DT,아파트,37.52914,127.12379,142920,136991,148047,147750,143805,127014,109444,7176,5975,17953,19706,20540,23687,25216,15365,2780,2950,5248,6140,8378,8033,7719,8188,7842,20426,2571,3257,4884,5525,5563,5567,5755,5620,5740,13409,광진교 8번가,1.56951947,70728,0.833333333,1,1.5,0,0.666666667,1,1.197119847,1300,0.292853803,9.00E+08,349,6584,95,1200,164,116,78,41,4.485074627,4.478658537,4.426724138,4.371794872,4.414634146,0.139915129,38728305000,3,13,33,44,0.466486691,5203,0.68049875,일신석재,2357.166667,19.25,420,2019-06-10,2020-08-03,3
2,강동암사DT,IC근처,37.55504,127.13006,149603,147065,151866,151456,156657,162602,143588,8714,6733,19354,22882,23150,26194,26886,18158,3953,2796,5090,6867,9112,9371,9541,9561,8594,21884,3932,3071,4729,5395,6303,6532,6346,6519,6237,16077,서울 암사동 유적,0.618278619,45577,2.333333333,2.5,3,1.5,2.666666667,2,1.431669792,1500,0.276806089,1.10E+09,490,6461,95,2100,148,109,79,52,4.366863905,4.368243243,4.344036697,4.316455696,4.240384615,2.106145048,61674420000,0,2,12,29,0.134675945,3763,0.482700414,휠라홀딩스,2078.666667,86,525,2019-02-25,2020-08-03,3
3,강릉송정DT,관광,37.77167,128.92311,31507,30679,29734,31137,33673,37043,33566,1413,714,3051,5058,6697,7163,5726,2879,1196,766,1026,1387,1776,1926,2301,1921,1643,4259,1168,711,1038,1021,1465,1611,1588,1392,1311,3140,안목해변,2.146934675,53753,1.333333333,1,2,1,1.333333333,1.333333333,32.57521761,10000,7.24E-05,0,0.178499569,0.88417181,1400,51,88,59,39,21,4.494736842,4.488636364,4.474576271,4.487179487,4.523809524,2.398367405,45570249500,0,0,1,2,0.355632526,2267,0.750833964,대창,125,21,245,2019-12-02,2020-08-03,5
4,경기광주송정DT,IC근처,37.40979,127.26021,15236,14672,15620,15571,15591,14409,13039,380,275,1546,2292,3051,3177,2916,1192,309,215,383,553,850,1035,1241,1212,1051,2065,311,220,290,348,583,645,759,751,691,1306,광주 조선백자 요지,2.51117311,32675,1.833333333,1.5,2,2,1.666666667,2,10.53984994,1600,8.72E-05,0.009014496,0.093417649,0.214450471,1200,148,76,51,30,15,4.474358974,4.473684211,4.431372549,4.366666667,4.4,1.559966332,6777022000,0,1,1,3,0.223060529,2370,0.545587138,케이씨(주),403.3333333,15.5,231,2019-12-16,2020-08-03,5
5,경기광주신현DT,IC근처,37.40979,127.26021,41115,41377,43769,43564,43002,44322,39506,1099,656,4272,6481,7985,8360,8331,5187,916,712,1244,1890,3028,2785,2673,2454,2272,5389,1017,846,1254,1762,2303,2184,1972,1895,1875,3894,율동공원,2.560674923,101122,1.833333333,2,2,1.5,1.666666667,2,5.578333757,10000,0.334426234,6.10E+08,480,740,2200,1400,100,68,51,38,4.32300885,4.335,4.279411765,4.225490196,4.263157895,2.784262943,1.73E+11,1,1,3,14,0.386742185,11029,0.432452178,휴비스(주),596,3,595,2018-12-17,2020-08-03,5
6,경기광주쌍령DT,아파트,37.39875,127.26021,37069,36730,37117,36692,37207,38624,38123,3338,2947,4614,4718,4877,5359,6233,5342,2279,813,933,1060,1871,2171,2336,2079,1607,4141,2448,1049,807,1039,1814,2046,2195,1777,1512,3457,백련암(경기),1.518412767,19780,1.5,1,1.5,2,1.666666667,1.333333333,12.47977873,3100,6.26E-06,0.01251675,0.40413912,0.036095007,1600,1100,73,62,44,17,4.342465753,4.342465753,4.338709677,4.340909091,4.352941176,3.278925246,1.49E+12,0,0,0,2,0.175602988,2381,0.595347602,현대자동차(주),429.6666667,9.5,161,2020-02-24,2020-08-03,5
7,경남사천DT,사업체,34.94111,128.08639,87672,88947,91033,90052,95948,93444,79925,2398,1443,8088,13660,17429,20025,18318,8234,2523,5059,3968,4140,5480,6349,7422,6473,5407,8412,2445,1704,2079,2366,3610,4010,4476,4116,3287,6165,수양공원 (구 산성공원),0.710315679,23449,1.5,1.5,1,2,1.666666667,1.333333333,0.076777646,10000,0.226005309,675804568.5,868.4720812,5494.497462,421,792,101,68,58,35,4.481481481,4.475247525,4.426470588,4.387931034,4.4,1.974756027,4.87E+11,0,1,3,3,0.282931857,3980,0.380049588,한국항공우주,210.6666667,19.5,378,2019-07-22,2020-08-03,4
8,경산중방DT,아파트,35.82724,128.73672,75841,72997,76272,76342,78301,78254,65615,2670,1896,7300,12351,14327,15568,14020,6601,1564,2266,3237,3353,4031,4086,4788,4925,4419,9388,1475,2312,2257,2188,2905,2952,3707,4015,3682,7104,혜광사(경산),1.087162868,20780,1.833333333,1,2,2.5,1.666666667,2,3.097773199,2300,0.198630155,7.00E+08,59,11393,375,929,129,76,60,21,4.560773481,4.57751938,4.631578947,4.616666667,4.357142857,1.773917002,1333560100,0,1,1,1,0.462435929,2511,0.505293785,제이에스코퍼레이션,522,29.5,1173,2017-05-18,2020-08-03,4
9,경인교대입구역DT,IC근처,37.53552,126.72215,78553,75714,80805,79300,79330,71800,63194,4486,3903,8987,10407,11281,13421,14427,8220,2040,1938,3084,3150,3639,3594,4235,4958,5389,10028,2291,2115,2702,2457,2608,2655,3188,3954,4194,6939,부평향교,0.526603553,28795,2.666666667,2.5,2.5,3,2.666666667,2.666666667,1.419502553,1100,0.211690181,2.40E+08,280,12974,286,373,129,102,81,46,4.656934307,4.643410853,4.68627451,4.635802469,4.673913043,1.241824725,45175835000,1,6,11,16,0.355219485,12139,0.563725929,풍산홀딩스,804,39.5,287,2019-10-21,2020-08-03,2
10,경주보문로DT,관광,35.85322,129.2687,4688,5315,3572,3647,5473,8130,7502,96,73,343,1079,1565,1405,787,279,216,154,246,269,363,390,322,270,256,496,270,178,234,243,394,332,242,216,204,336,경주월드 어뮤즈먼트,0.378324147,216315,0.666666667,1,1,0,0,1.333333333,1.330698757,684,13452.86762,675804568.5,868.4720812,5494.497462,4000,2600,101,81,61,31,4.606837607,4.618811881,4.580246914,4.606557377,4.564516129,6.408657425,2.19E+11,0,0,0,0,0.185749626,0,0.387269862,대림산업(주),NA,NA,2884,2012-09-10,2020-08-03,5
